comment,like,share,follower,play
441,25870,138,1306208,420594
786,38975,187,1306208,458713
115,8476,19,1306208,182849
1300,51953,614,1306208,699397
121,6310,43,1306208,146969
144,10850,35,1306208,268162
3378,101422,2491,1306208,2335585
10439,431339,4059,1306208,8344146
305,46473,54,1306208,814198
2987,185744,406,1306208,5109138
617,34886,102,1306208,758727
845,68388,148,1306208,997281
46041,1321750,34032,1306208,17875529
28537,1362012,16379,1306208,18338783
6168,44845,35,4868144,627944
886,25310,65,4868144,534475
171,12514,7,4868144,410073
6290,451451,2719,4868144,6680739
527,40183,71,4868144,1124714
986,186405,158,4868144,2506954
49466,2937384,49992,4868144,56567567
328,46865,47,4868144,1845812
693,73469,146,4868144,1958516
597,80003,93,4868144,1900334
445,34461,118,4868144,1211779
361,33325,149,4868144,1097125
3035,248705,255,4868144,3113622
2585,265211,651,4868144,3582643
535,129624,97,4868144,1816265
1661,68020,668,7634998,1393073
1338,61717,651,7634998,2180643
593,99852,184,7634998,6546843
18677,487916,15648,7634998,18651871
2836,180662,2145,7634998,5791133
507,49001,267,7634998,2068657
3486,91917,614,7634998,2219932
827,51031,1174,7634998,2852180
8628,295180,978,7634998,6290475
12265,583018,6222,7634998,9306804
431,36136,157,7634998,2129552
3612,125408,2057,7634998,4045609
19985,575357,16315,7634998,11736358
3055,971102,1679,7634998,24570593
7258,324984,17097,7634998,5783307
248,40877,40,4276972,480079
348,83088,144,4276972,679055
4544,282038,2177,4276972,2251887
618,217183,365,4276972,1995552
531,216993,128,4276972,2579034
1308,166256,332,4276972,1517721
1392,341464,379,4276972,3053956
2116,398779,609,4276972,3636307
749,152299,127,4276972,1826965
2676,1076860,1192,4276972,15102899
687,181851,283,4276972,2077716
936,265751,358,4276972,2838518
623,176075,202,4276972,1996136
5694,1003735,2581,4276972,8100076
1449,287173,619,4276972,3135781
146,4604,5,1824097,161005
158,9406,25,1824097,372994
224,7352,18,1824097,436910
128,8064,20,1824097,369612
1177,39952,625,1824097,752505
954,30621,396,1824097,697485
2704,83454,1371,1824097,6295024
2412,79766,450,1824097,3347566
100,5438,35,1824097,344632
191,13077,364,1824097,636198
101,7751,62,1824097,554692
290,15818,166,1824097,612147
578,19765,448,1824097,705554
421,21101,325,1824097,1078443
421,16759,385,1824097,888001
655,105068,39,4568638,1657485
1009,271847,216,4568638,4897068
41647,2121322,2867,4568638,59871516
4058,545170,1108,4568638,13786833
653,167958,230,4568638,3280213
48580,1094915,13928,4568638,18992180
3331,448561,561,4568638,12001335
3020,586198,971,4568638,11959124
15221,2059546,7616,4568638,37698393
2317,294574,833,4568638,5789815
3351,399983,633,4568638,7883770
106002,2865329,120522,4568638,79525124
6863,1064458,5859,4568638,18909285
2757,382320,1534,4568638,14131039
12654,2153165,3753,4568638,44337841
108,4896,4,3496319,53694
337,118345,614,3496319,759611
645,51656,47,3496319,1210761
1091,265696,340,3496319,2871732
528,131697,713,3496319,2124682
10662,287067,208,3496319,2985945
6987,1250485,781,3496319,22172326
5946,1278111,602,3496319,24511957
801,237944,753,3496319,2810457
1271,228853,882,3496319,2824997
603,242608,2367,3496319,3378553
2805,537106,1365,3496319,6123900
5549,1284057,5985,3496319,15506577
713,134335,438,3496319,2273718
33199,2206747,3499,3496319,50124178
5807,176730,7132,6026612,9961051
530,17269,189,6026612,1097780
50702,684337,71823,6026612,34938038
1142,69489,152,6026612,2375717
939,73318,311,6026612,2178436
901,133323,409,6026612,2835749
2875,176655,2433,6026612,6059218
2796,175037,3103,6026612,4090815
4609,223727,1203,6026612,6278180
1533,90000,894,6026612,3464165
80968,1706642,130018,6026612,32826943
1145,59586,624,6026612,2928479
16749,565278,30761,6026612,20291393
33136,1194189,46735,6026612,33427557
5253,532971,7445,6026612,15103091
